"timestamp","happy1","ID","tutorial","travel","direction","born","sports","aware","morning_drink","breakfast","sleep","siblings","siblings_number","pets","beer","coffee","Pineapple_Pizza","Pinky","OS","hand","energy","shoes","phone","Apartment_Size","rooms","apps","countries","CB","Food_Money","season","Drink_Coffee","height","bother","happy2","tutorial_batch","time","major","morning_drink2"
"2026-04-07 12:38:31.506",8,"lessi25b","Tutorial 6 (C5.325)",2,"S",1800,16,"awake","water","yes",8,"yes",2,1,2,2,"No",6,"Apple",15,9,5,15.5,65,1,53,10,"yes",350,"Spring","sugar_milk",175,8,9,2026,1215,"GESS","water"
"2026-04-07 12:38:33.427",8,"garte21","Tutorial 6 (C5.325)",10,"NE",600,2,"awake","tea","no",8,"no",0,6,4,7,"No",6,"Microsoft",19,8,4,17,24,0,139,16,"yes",100,"Fall","milk",175,8,8,2026,1215,"GESS","tea"
"2026-04-07 12:38:45.472",10,"banko12a","Tutorial 4 (C12.010)",0.3,"NE",789,3,"energized","cacao","yes",8,"no",0,2,4,4,"Yes",5,"Apple",16,5,15,15.5,53,1,300,13,"yes",150,"Spring","sugar_milk",166,4,10,2026,1215,"GESS","other"
"2026-04-07 12:38:54.699",4,"pfalz19","Tutorial 6 (C5.325)",0,"W",250,3,"drowsy","coffee","yes",7,"no",0,1,4,2,"No",6,"Apple",18,7,5,15.5,140,5,20,21,"yes",60,"Summer","milk",163,7,6,2026,1215,"GESS","coffee"
"2026-04-07 12:38:57.667",8,"nette2b","Tutorial 6 (C5.325)",2,"S",53,10,"tired","water","yes",8,"yes",2,1,3,3,"Yes",6.5,"Apple",21,5,5,15,90,1,92,22,"yes",300,"Summer","milk",175,9,8,2026,1215,"GESS","water"
"2026-04-07 12:38:58.331",6,"astra9","Tutorial 4 (C12.010)",1,"SE",573,6,"tired","coffee","yes",7,"yes",1,0,4,4,"Yes",8,"Apple",28,5,11,20,180,8,112,21,"yes",120,"Summer","black",177,4,6,2026,1215,"GESS","coffee"
"2026-04-07 12:39:01.424",7,"amrei4","Tutorial 5 (C11.319)",4,"NE",120,3,"awake","coffee","yes",9,"yes",1,1,3,4,"do_not_mind",6.2,"Microsoft",21,7,9,17,30,0,215,4,"yes",200,"Summer","milk",174,9,7,2026,1215,"GESS","coffee"
"2026-04-07 12:39:07.83",6,"thigi5","Tutorial 4 (C12.010)",1,"NE",9500,4,"awake","tea","yes",7,"yes",1,3,2,4,"do_not_mind",4,"Microsoft",14,5,12,14,47,1,23,12,"yes",150,"Summer","milk",158,5,6,2026,1215,"GESS","tea"
"2026-04-07 12:39:10.536",6,"diebr341","Tutorial 5 (C11.319)",2.3,"S",207,9,"tired","water","yes",8,"yes",2,45,3,4,"do_not_mind",6.5,"Microsoft",21,6,11,16.5,100,2,200,8,"yes",200,"Spring","milk",168,9,7,2026,1215,"GESS","water"
"2026-04-07 12:39:12.165",8,"blume20","Tutorial 6 (C5.325)",500,"N",738,10,"awake","coffee_or_tea","yes",8,"yes",2,1,3,3,"No",6,"Microsoft",21,8,10,14.5,60,2,98,13,"yes",250,"Fall","milk",168,10,8,2026,1215,"GESS","coffee"
"2026-04-07 12:39:18.962",6,"schne7","Tutorial 4 (C12.010)",60,"SE",480,3,"drowsy","coffee","yes",7,"yes",1,2,2,4,"do_not_mind",6,"Apple",16,5,5,15,24,0,20,10,"yes",280,"Fall","sugar_milk",175,4,6,2026,1215,"GESS","coffee"
"2026-04-07 12:39:20.982",3,"eucke10","Tutorial 6 (C5.325)",800,"S",800,10,"drowsy","coffee","yes",7,"yes",1,2,3,2,"Yes",6,"Microsoft",22,1,3,15,90,2,147,15,"yes",350,"Summer","black",188,7,4,2026,1215,"GESS","coffee"
"2026-04-07 12:39:24.38",8,"carlv15","Tutorial 4 (C12.010)",0.2,"W",71,8,"tired","water","yes",9,"yes",1,1,2,2,"Yes",4,"Apple",12,4,7,20,60,2,30,10,"yes",100,"Summer","milk",165,3,7,2026,1215,"GESS","water"
"2026-04-07 12:39:26.041",4,"goeth16","Tutorial 4 (C12.010)",2.5,"S",700,6,"drowsy","orange_juice","yes",9,"yes",2,3,2,2,"No",7,"Microsoft",24,7,7,20,55,1,79,9,"No",150,"Fall","Other",170,5,6,2026,1215,"GESS","other"
"2026-04-07 12:39:29.664",8,"amkre1","Tutorial 4 (C12.010)",1.4,"N",6848,4,"energized","coffee","yes",9,"yes",1,0,2,2,"No",8,"Microsoft",23,7,7,20,23,0,23,25,"yes",100,"Summer","milk",177,9,9,2026,1215,"GESS","coffee"
"2026-04-07 12:39:39.991",9,"hoegd2b","Tutorial 5 (C11.319)",0.8,"N",395,3,"energized","chocolate_oat_milk","yes",8,"no",0,5,1,1,"No",5.5,"Apple",15.5,7,3,16,66,2,49,5,"yes",90,"Summer","Other",162,4,7,2026,1215,"GESS","other"
